,Title,Comment,Status,Author teams to alert,Data Request Actions,GitHub Issue URL,Coordinates and Dimensions,GitHub Issue number,Spatial Shape,Temporal Shape
rec1hBjnVa3oS8x82,Incorrect cell methods,"These three variables are all mass per unit area, incorrectly labelled as area sum rather than area mean.
",In progress,['Ocean & Sea-Ice'],"
",,,,,
rec3DjzGWgwHAOvvd,Add LWP and IWP dimensions,"Request to add new 'Extra Dimensions' LWP and IWP for variable submissions 
",In progress,['Atmosphere'],"The github discussion resolves that changes in dimensions are not needed, but there will be new standard names. [MJ]
",https://github.com/cf-convention/vocabularies/issues/52#issuecomment-2255972930,,,,
rec3SVb9mtR49l4pC,Reference level should be 10m for ocean mixed layer depth mlotst,"The method to calculate the mixed layer depth (mlotst) is documented in Griffies et al. 2016 ( <https://doi.org/10.5194/gmd-9-3231-2016> ). It is the depth at which density is larger than the density of the first model level+ a threshold of 0.03 kg.m-3 (appendix H24). We propose to make the reference depth 10 m instead of the first model level (note than some modelling groups already did it that way for CMIP6). A recent study based on OMIP (Treguier et al. 2023, <https://doi.org/10.5194/gmd-16-3849-2023> )discusses the fact that using the first model level as a reference makes mlotst less comparable with obs (obs-based datasets reference the MLD to 10m because the diurnal cycle is not well-sampled by observations). Furthermore, the difference of the depth of the first model level between different models makes a significant difference in the computed MLDs in some seasons/regions (Treguier et al., 2023).
",In progress,['Ocean & Sea-Ice'],,,,,,
rec3l7GDGVjOwqQmZ,CMIP7 SSP245 scenario,"If the projection scenarios are generated by a model, could the research center at least include the scenario corresponding to SSP245 in CMIP6? This addition could allow us to extend the historical period used as the training period for raw model post-processing.
",In progress,"['Atmosphere', 'Earth system']",,,,,,
rec4frf1DeUNkY1jY,Emon.albsn to be added to variable group paleo_cryosphere,"Emon.albsn to be added to variable group paleo\_cryosphere
",Done,"['Land & Land-Ice', 'Ocean & Sea-Ice', 'Earth system', 'Atmosphere']",,,,,,
rec5eJ0oeAWnEgBzF,Visibility of pressure level information. ,"In a [comment to the GMD BCV](https://doi.org/10.5194/egusphere-2024-2363-CC2) paper there has been a question about visibility of pressure level information. E.g. where do people find which levels are include in the 19 pressure levels.
This is included in air table ([see here)](https://airtable.com/appBWxP0SS7K1hweJ/shrxhV6tenQBnOGRj/tblDgm0SuMVzRxGdn/viwXp13lTZZFHj7dg/recABeb7kv0Knp9hi?blocks=bip0j1KMajP5L0L2W) but is not very accessible. There is also a discussion of the levels used in [CMIP6 here](https://cmip6dr.github.io/Data_Request_Home/Documents/CMIP6_pressure_levels.pdf) (also not very easily found).

Can we make this information more visible?
",In progress,['Atmosphere'],,https://github.com/CMIP-Data-Request/Harmonised-Consultation-Phase-1/issues/20,plev19,20,,
rec6eS3rn0Tqho0eQ,Variables on atmospheric pressure levels.,"Atmospheric variables which have been requested on pressure levels have been assigned cell methods containing ""area: mean"". This should ideally be \`area: mean where air\` to make it clear that the mean is only taken over the atmospheric portion of the cell.
",New,['Atmosphere'],,https://github.com/CMIP-Data-Request/Harmonised-Consultation-Phase-1/issues/29,,29,"Global field (19 pressure levels), Global field (7 pressure levels), Global field (16 altitudes)",
rec8Wo1EuWaztV4kQ,fx.depthsl to be added to variable group paleo_fx,"fx.depthsl to be added to variable group paleo\_fx
",Done,"['Land & Land-Ice', 'Earth system', 'Atmosphere']",,,,,,
rec8Wzze48yBUzFNp,more precised definition of fx.mrsofc wanted,"fx.mrsofc - this variable exists and is already in the baseline request – we request to provide a more precise definition of the physical quantity – it should exclude lake water and must refer to soil water only
",New,"['Earth system', 'Land & Land-Ice', 'Ocean & Sea-Ice']",,,,,,
recA1MOoafvSZb8gq,fx.lithk to be added to variable group paleo_fx,"fx.lithk to be added to variable group paleo\_fx
",Done,"['Earth system', 'Land & Land-Ice', 'Ocean & Sea-Ice', 'Atmosphere']",,,,,,
recA7wn34KAC60pJ4,Consistent calendar,"In CMIP5 and CMIP6, models utilize various calendars, such as the 365-day, 366-day, 360-day, and Julian calendar, for daily and monthly data. This diversity introduces challenges in pre-processing the data before it can be effectively used for daily analyses.
",Won't do,['Atmosphere'],"This is out of scope for the data request [MJ]
",,,,,
recCxlzsKIkUQlUpI,Ocean layers,"OMDP would like to specify a set of levels which are consistent with the literature (to keep these low dimensional). 
",New,['Ocean & Sea-Ice'],,https://github.com/CMIP-Data-Request/Harmonised-Consultation-Phase-1/issues/24,"olayer100m, depth0m, depth100m, depth300m, depth700m, depth2000m",24,,
recEXEZ4QOYwo6mIA,UTLS variables,"There are a number of new variables marked UTLS. They all have dimensions that imply that they are simple time series with no spatial dimensions at all. Looking at description I suspect that this is incorrect. This may be down to the spatial shape record having no associated dimensions
",New,['Atmosphere'],,,,,"""Global field (3 pressure levels, UTLS)""",
recGexXbTyKuX1o6m,Inconsistent way sfcWind and sfcWindmax are provided,"I'm preparing a paper, where I'll touch on the issue (Malinina in prep, Attribution of the 2022 extratropical storm Fiona), but I have noticed that the way the sfcWind has been provided in the day table is all over the map, sometimes it is the real sfcWind (instantaneous norm of uas and vas components), sometimes it's a norm of 3hr/6hr uas and vas components and sometimes it is norm of daily uas and vas. Comparing models between each other or with observations becomes useless, because based on the method sfcWind is obtained, there can be up to 25% difference. 

Additionally, it is unclear how sfcWindmax is obtained, is it instantaneous? Is it for the model time step? Since CMIP6 docs are down, I had to track the modelling centers to ask this questions and everyone has a different opinions even within one center. Again this makes multi-model ensembles very uncertain and both daily and sub-daily sfcWind and sfcWindmax are incredibly important for adaptation.
",In progress,"['Atmosphere', 'Impacts & Adaptation', 'CF Working Group']",,,,,,"time-point, time-intv"
recHIBzmnOqjL1PdW,Air Pressure at Convective Cloud Base,"cell\_methods should include ""where convective\_cloud"". When regridding, should these be weighted by \*total\* convective cloud area or by convective cloud area in the grid cell located at cloud base?

MJ: accepted, but does not apply to instantaneous values.
",Done,['Atmosphere'],"Accepted
",https://github.com/CMIP-Data-Request/Harmonised-Consultation-Phase-1/issues/28,,28,,
recLi3Dsi3FEHdL7f,provide Oyr.opottemptend as a decadal variable Odec.opottemptend,"Oyr.opottemptend enables monitoring the heat content in the ocean in a spatially resolved manner. This variable is currently requested by opportunity ID.51. Decadal information would be sufficient for that purpose and would reduce requested data volume to one-tenth, but such a variable would have to be defined.
",New,['Ocean & Sea-Ice'],,,,,,
recONbhbzjml2jK6H,Ice Sheet cell methods error,"The ""area: mean where ice\_sheet"" cell methods string has a title referring to \*\*grounded ice sheets\*\*.
",Done,['Land & Land-Ice'],"Removed 'grounded' from string. [MJ, 17 July]
",,,,,
recRRKc3KsrcYrLTo,Change '--' notation in cell measures ,"These three cell measures are indicated with two dashes in their name, this creates issues when exporting the database to excel format. Update names to have two colons instead of two dashes (e.g. ::UGRID instead of --UGRID)
",Done,,"Changed
",,,,,
recSUbe58BCOEY10o,Variables tasmax and tasmin should use a climatology time axis,"Variables tasmax and tasmin should use a climatology time axis but were assigned the time mean axis: see https://github.com/cmip6dr/cmip7\_forward\_look/issues/48
",Done,,"co-leads MJ : reassign temporal shape in variables records and update linked structures. 
",https://github.com/cmip6dr/cmip7_forward_look/issues/48,,,,
recSaF6cpro9TfZs7,Additional information required as part of data request for C4H10,"For mole fractions of different VOCs (e.g., C4H10), the list of individual species that are included in a quantity having a group chemical standard name can vary between models. Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. How can this request for information be captured in the data request?
",In progress,['Atmosphere'],,,,,,
recTGUYLqPhuFgChn,Artificial tracer with a 90-day lifetime,"This 3D tracer is to be sampled on the first day of each month as an instantaneous field. I'm still waiting to hear whether it's a single time point on that day or a diurnal cycle, but it has been currently placed in the AERmon table. Is this the correct table for this variable?
",In progress,['Atmosphere'],,,,,,
recVpsn2pIh3Dvc6c,Inconsistency between Eday and LImon agesno (Age of Snow),"The Eday version uses cell\_methods ""area: mean where land time: mean"", the LImon has the better value ""area: time: mean where land (weighted by snow mass on land)"". Karl suggested improving to ""area: time: mean where land (weighted by snow mass on land)""

",New,['Land & Land-Ice'],"Proposed changes accepted
",https://github.com/CMIP-Data-Request/Harmonised-Consultation-Phase-1/issues/27,,27,,
recVud5MIKX02xlbk,Addition of a stratosphere-only 550 OD,"od550so4 only mentions ""ambient"" aerosols: however, this makes the role of stratospheric sulfate (either from volcanoes, for models with interactive aerosols, or from geoengineering experiments - which are in the FastTrack) unclear. It would be useful at this point to separate AOD between od550aer and an od550aerso for the stratosphere (such a variable existed in CMIP6, but was not high priority)
",In progress,['Atmosphere'],,,,,,
recW2I12jiXyOKjlw,aerosol variables with incorrect dimensions and cell methods,"In CMIP6 these variables were on model levels and had the lambda550nm coordinate attached, i.e. expected dimensions are ""longitude latitude alevel time lambda550nm""

The cell\_methods is currently "" area: mean where crops time: minimum within days time: mean over days"", which is clearly incorrect for aerosol scattering/extinction data
",New,['Atmosphere'],,,,,,
recX8NUXi2lgkihYa,Increase levels of EdayZ variables to 39 levels,"Following a request from DynVarMIP to increase the number of levels for Edayz.ta, for consistency the variables hus, va, ta, and zg were all changed to 39 levels. All variables in the EdayZ table are now on 39 levels.
",Done,,,,,,,
recd6DlHdYZNiTzyO,definition of various albedo metrics to be discussed / potentially updated,"The idea of these variables is to gather information on the albedo of the ice- or snow-covered surface (for both land and ocean) - this means that if a grid cell is partly covered by ice or by snow, the value should be computed only on the part of the snow or ice cover, respectively, ignoring albedo of the remainder of the land surface. We may therefore have to update the cell measures accordingly.
Furthermore, since ocean and sea ice will have different cell areas, it must be established whether this metric can be covered in one variable (using both cell measures areacella and areacello where appropriate) or whether this should be rather split into two variables - one for ocean, one for land / land ice.
",New,"['Atmosphere', 'Earth system', 'Land & Land-Ice', 'Ocean & Sea-Ice']",,,,,,
recehmU1JOUbk9KQg,This is likely a duplicate of the variable Omon.intpp,"The variable refer to the 'algal production' which is indeed relating to the primary production, although it is not clear if it is intended to be gross or net primary production. This defined as a Global field (single level) so it should be a vertical integrated field, as specific levels are not provided. If the variable refer to the vertically integrated primary production, then it is a duplication of the variable [Omon.intpp](https://airtable.com/appbrFryP1MhstOS3/shrrR1EZUsoiOWZFw/tblB7kawNMs57NJsd/viwNF4IFzIViOKSwG/recsCtFkzKrdrP73j?blocks=hide). Besides, the selected Table should be 'Omon' instead of 'Emon'.
",New,"['Earth system', 'Impacts & Adaptation']",,,,,Global field (single level),
recepVFCJ6dtYTW0b,Change in the name of the underlying physical parameter.,"The following names were proposed via Github 
Westward Reynolds stress from orographic gravity wave parameterization - tauuogw, for the vertical flux of zonal momentum within the orographic GW parameterization.
Northward Reynolds stress from orographic gravity wave parameterization - tauvogw, for the vertical flux of meridional momentum within the orographic GW parameterization.
Westward Reynolds stress from non-orographic gravity wave parameterization - tauunogw, for the vertical wave flux of zonal momentum within the non-orographic GW parameterization.
Northward Reynolds stress from non-orographic gravity wave parameterization - tauvnogw, for the vertical wave flux of meridional momentum within the non-orographic GW parameterization.

But, it was noted that the standard name table already contains similar quantities named differently. To conform with the existing, the new standard names should be:
```
upward_westward_momentum_flux_in_air_due_to_orographic_gravity_waves
upward_northward_momentum_flux_in_air_due_to_orographic_gravity_waves
upward_westward_momentum_flux_in_air_due_to_nonorographic_gravity_waves
upward_northward_momentum_flux_in_air_due_to_nonorographic_gravity_waves
```


",Done,['Atmosphere'],"BD moved comment to Physical Parameters table
",,,,,
recgZbGDl0E6GlYT9,"Adding RLUS, RLDS, RSDS, HFLS, and HFSS to baseline_daily group","I recommend adding RLUS, RLDS, RSDS, HFLS, and HFSS to baseline\_daily group in order to facilitate studies were the surface energy budget needs closed at a daily level, which included understanding the drivers of Polar Amplification. 
",Won't do,"['Ocean & Sea-Ice', 'Land & Land-Ice', 'Atmosphere', 'CF Working Group']",,,,,Global field (single level),
rechnk5WOkEN4Uxfk,Request for additional information when reporting variable,"For mole fractions of different VOCs (e.g., C2H4), the list of individual species that are included in a quantity having a group chemical standard name can vary between models. Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. How can this request be captured in the data request?
",In progress,['Atmosphere'],,,,,,
