,Name,MIP Variables (from CMOR Variables),CF Standard Name (from MIP Variables) 2 (from CMOR Variables),Title (from CMOR Variables),Structure Title (from CMOR Variables),Shortlist,V1.1,Version 1.2,Version 1.3,Summary,v1.3 (standard(,Modeling Realm (from CMOR Variables),Fixed,History,V1.3 (high)
rec0CZW0KL6ahi2Mt,SImon.simass,simass,sea_ice_amount,Sea-Ice Mass per Area,"""Time and Area Mean on Single Level, Masked (Sea)""",SImon.simass,SImon.simass,True,True,Summary,SImon.simass,seaIce,,,
rec0K6eI2lUAvIdTG,day.tasmin,tasmin,air_temperature,Daily Minimum Near-Surface Air Temperature,"""Temporal Minimum, Near-Surface Field (2m)""",day.tasmin,day.tasmin,True,True,Summary,day.tasmin,atmos,,,
rec0OWDPmkNJy5EtU,Amon.rldscs,rldscs,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Longwave Radiation,Time and Area Mean on Single Level,Amon.rldscs,Amon.rldscs,True,True,Summary,Amon.rldscs,atmos,,,
rec0ZP1gOUKqmS5eO,Amon.rsdt,rsdt,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,Time and Area Mean on Single Level,Amon.rsdt,Amon.rsdt,True,True,Summary,Amon.rsdt,atmos,,,
rec17npWMZ0Jeo6jB,Efx.slthick,slthick,cell_thickness,Thickness of Soil Layers,Time Invariant Global Field on Soil Levels [XY-na] {sdepth:} [amla],Efx.slthick,Efx.slthick,True,True,Summary,,land,True,,
rec1IyeZAznBlbOSi,fx.sftgif,sftgif,land_ice_area_fraction,Land Ice Area Percentage,Model Configuration Field,fx.sftgif,fx.sftgif,True,True,Summary,,land,True,,
rec1e4BlL10YGwkqn,SImon.siconc,siconc,sea_ice_area_fraction,Sea-Ice Area Percentage (Ocean Grid),"""Weighted Time-Mean on Single Level, Masked (Sea)""",SImon.siconc,SImon.siconc,True,True,Summary,SImon.siconc,seaIce,,,
rec2PswE32kAHR8Kf,Oyr.o2,o2,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,Dissolved Oxygen Concentration,"""Temporal mean, Global ocean field on model levels [XY-O] [tmean]""",Oyr.o2,Oyr.o2,True,,Summary,,ocnBgchem,,"Removed following review of corrected ESGF download stats.
",
rec2ahyEdw0Tw0svl,Amon.wap,wap,lagrangian_tendency_of_air_pressure,Omega (=dp/dt),Time-Mean on 19 Pressure Levels,Amon.wap,Amon.wap,True,True,Summary,Amon.wap,atmos,,,
rec3QcO2HTAqe9HvS,Amon.pr,pr,precipitation_flux,Precipitation,Time and Area Mean on Single Level,Amon.pr,Amon.pr,True,True,Summary,Amon.pr,atmos,,,
rec3ppJ9RimRu0vxL,6hrLev.hus,,,,,6hrLev.hus,,,,Summary,,,,,
rec3rbERyRfP18Rtc,Efx.siltfrac,siltfrac,volume_fraction_of_silt_in_soil,Silt Fraction,Time Invariant Global Field on Soil Levels [XY-na] {sdepth:} [amla],Efx.siltfrac,Efx.siltfrac,True,,Summary,,atmos,True,Removed following review of corrected ESGF download stats.,
rec3t4vuYE4MUKHhD,Amon.rsuscs,rsuscs,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Upwelling Clear-Sky Shortwave Radiation,Time and Area Mean on Single Level,Amon.rsuscs,Amon.rsuscs,True,True,Summary,Amon.rsuscs,atmos,,,
rec49ui5wqCvEmfnW,Amon.ta,ta,air_temperature,Air Temperature,Time-Mean on 19 Pressure Levels,Amon.ta,Amon.ta,True,True,Summary,Amon.ta,atmos,,,
rec4FBxoHTFjEYd9I,CFday.cl,,,,,CFday.cl,,,,Summary,,,,,
rec5EWtHWkpO53lMG,CFday.zg,,,,,CFday.zg,,,,Summary,,,,,
rec5z4sjMBh2x8QqM,6hrPlevPt.va,va,northward_wind,Northward Wind,"""Synoptic Field on Three Pressure Levels, Cell Mean""",6hrPlevPt.va,6hrPlevPt.va,True,True,Summary,,atmos,,,6hrPlevPt.va
rec71syvnecQ9ObNC,6hrLev.va,,,,,6hrLev.va,,,,Summary,,,,,
rec73v7je4CkiTMEy,fx.areacella,areacella,cell_area,Grid-Cell Area for Atmospheric Grid Variables,"""Model Configuration Field, Area Sum (No Height Dependence)""",fx.areacella,fx.areacella,True,True,Summary,,"atmos, land",True,,
rec8MlEt8m6ZFpJ3N,Efx.rsd,,,,,Efx.rsd,,,,Summary,,,,,
rec8khg0WHgAa5oWG,day.hur,hur,relative_humidity,Relative Humidity,Time-Mean on 8 Pressure Levels,day.hur,day.hur,True,True,Summary,,atmos,,,day.hur
rec92ErjowVBd055J,Eday.hus,hus,specific_humidity,Specific Humidity,Time-Mean on 19 Pressure Levels,Eday.hus,Eday.hus,True,True,Summary,,atmos,,,Eday.hus
rec9H05mt6lWBsugL,CFday.hur,,,,,CFday.hur,,,,Summary,,,,,
rec9RkqRCygX7IGS9,day.rlds,rlds,surface_downwelling_longwave_flux_in_air,Surface Downwelling Longwave Radiation,Time and Area Mean on Single Level,day.rlds,day.rlds,True,,Summary,,atmos,,Removed following review of corrected ESGF download stats.,
rec9Y3AZWz0uz6y4L,Omon.wo,wo,upward_sea_water_velocity,Sea Water Vertical Velocity,"""Temporal mean, Global ocean field on model levels [XY-O] [tmean]""",Omon.wo,Omon.wo,True,True,Summary,,ocean,,,Omon.wo
rec9ajjAdi3wZGP1t,Amon.rlus,rlus,surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,Time and Area Mean on Single Level,Amon.rlus,Amon.rlus,True,True,Summary,Amon.rlus,atmos,,,
recA21maLUJ2qUzvT,Lmon.lai,lai,leaf_area_index,Leaf Area Index,"""Time and Area Mean on Single Level, Masked (Land)""",Lmon.lai,Lmon.lai,True,True,Summary,Lmon.lai,land,,,
recAb8HL5T0RMkCGm,Omon.thkcello,thkcello,cell_thickness,Ocean Model Cell Thickness,"""Temporal mean, Global ocean field on model levels [XY-O] [tmean]""",,Omon.thkcello,True,True,Summary,,ocean,,,Omon.thkcello
recCG7qp0zu6ejfqZ,fx.areacellr,areacellr,cell_area,Grid-Cell Area for River Model Variables,"""Model Configuration Field, Area Sum (No Height Dependence)""",fx.areacellr,fx.areacellr,True,,Summary,,land,True,"Removed following June 2024 decision on publication threshold.
",
recCSuTM8qZlrshGk,day.clt,clt,cloud_area_fraction,Total Cloud Cover Percentage,Time and Area Mean on Single Level,day.clt,day.clt,True,True,Summary,day.clt,atmos,,,
recCoJvUBgHI58dkx,Oday.sos,sos,sea_surface_salinity,Sea Surface Salinity,"""Time and Area Mean on Single Level, Masked (Sea)""",,Oday.sos,True,True,Summary,Oday.sos,ocean,,,
recDE4gYbqbK7Plmr,LImon.snw,snw,surface_snow_amount,Surface Snow Amount,"""Time and Area Mean on Single Level, Masked (Land)""",LImon.snw,,,True,Summary,LImon.snw,"landIce, land",,Added following review of corrected ESGF download stats.,
recDEto82Mo6wOfBn,Lmon.mrso,mrso,mass_content_of_water_in_soil,Total Soil Moisture Content,"""Time and Area Mean on Single Level, Masked (Land)""",Lmon.mrso,Lmon.mrso,True,True,Summary,Lmon.mrso,land,,,
recDQZX2q4Yu6HyFv,Lmon.mrsos,mrsos,mass_content_of_water_in_soil_layer,Moisture in Upper Portion of Soil Column,"""Time-Mean on Single Soil-Model Level, Masked (Land)""",Lmon.mrsos,Lmon.mrsos,True,True,Summary,Lmon.mrsos,land,,,
