,Name,Title,CF Standard Name,Units,UID,Provenance,Name Validation,Status,CMOR Variables,Description,is alias (from CF Standard Name),Created,Last Modified By,Atmosphere team review status,Tagged author team,Data protection consent,Proposer name,Proposer email,Justification for inclusion,Atmosphere team review status copy 4,Processing Note,Proposed CF Standard Name,Proposed CF Standard Name Description,Processing Comment,Atmosphere review comments copy,Comments,Edited by author teams,Atmosphere team review status copy 2,Atmosphere team review status copy 5,Atmosphere team review status copy 6,Atmosphere review comments,CF Standard Name Proposal Accepted
rec02wjcTWT62tajv,tauvpbl,Northward Surface Stress from Planetary Boundary Layer Scheme,surface_downward_northward_stress_due_to_boundary_layer_mixing,Pa,590f5b72-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [DynVarMIP],1,Existing physical parameter,['recmio0y0PAHbaMHu'],"The  downward northward stress associated with the models parameterization of the planetary boundary layer. (This request is related to a WGNE effort to understand how models parameterize the surface stresses.)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec03w9Buvkq6BzsH,rsutcso3ref,Top of atmosphere shortwave radiative flux under clear sky conditions from a diagnostic call to the radiation scheme using a reference ozone field,toa_outgoing_shortwave_flux_assuming_clear_sky_and_reference_mole_fraction_of_ozone_in_air,W m-2,,,1,Under review,['recoD7QfMENEkM36x'],,0 checked out of 1,2024-08-29T11:15:43.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"When used in combination with output from the prognostic call to the radiation scheme, it can be used to diagnose instantaneous radiative forcing by ozone
",,,,,,,,,,,,,
rec05MOYG8F5FE1WE,demc,Convective Cloud Emissivity,convective_cloud_longwave_emissivity,1,583cc0e465e20507f5aff35387691c4b,CMIP5_CF3hr,1,Existing physical parameter,['recuKILwjYxRx7FKs'],"This is the in-cloud emissivity obtained by considering only the cloudy portion of the grid cell.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec09pv3NTPAASkMx,o3loss,O3 Destruction Rate,tendency_of_atmosphere_mole_concentration_of_ozone_due_to_chemical_destruction,mol m-3 s-1,8f702d9afa69b3f0e0fb2a64470e12d8,CCMI1_monthly,1,Existing physical parameter,['recTaCqSjzqmx0iHp'],"ONLY provide the sum of the following reactions: (i) O(1D)+H2O; (ii) O3+HO2; (iii) O3+OH; (iv) O3+alkenes (isoprene, ethene,...)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec0Ke6Mp9iSvOh3k,sfriver,Salt Flux into Sea Water from Rivers,salt_flux_into_sea_water_from_rivers,kg m-2 s-1,ced45b8b1f2797c54425755202dce533,OMIP.Omon,1,Existing physical parameter,"['recTmOmKlep045A5G', 'recMx4UkLbq0sZdEi']","This field is physical, and it arises when rivers carry a nonzero salt content.  Often this is zero, with rivers assumed to be fresh.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec0LGS861B6M7SLF,sblIs,Ice Sheet Surface Snow and Ice Sublimation Flux,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,kg m-2 s-1,53825806-bf01-11e6-a554-ac72891c3257,CMIP6 [ISMIP6],1,Existing physical parameter,['recK2XlsJxc47sQdh'],"The snow and ice sublimation flux is the loss of snow and ice mass per unit area from the surface resulting from their direct conversion to water vapor that enters the atmosphere.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec0NtnUT0GyEnJIN,swsrfasdust,All-Sky Surface Shortwave Radiative Flux Due to Dust,surface_net_downward_shortwave_dust_ambient_aerosol_particles_direct_radiative_effect,W m-2,590f465a-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,['recN9AJlqzCzsjwlo'],"The direct radiative effect refers to the instantaneous radiative impact on the Earth's energy balance, excluding secondary effects such as changes in cloud cover.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec0RmGISVu71ECGl,swtoacsdust,Clear Sky Shortwave Flux Due to Dust at Toa,toa_instantaneous_shortwave_forcing,W m-2,332db812bf06c7af2de1b9d1e0cf58c9,CCMI1_monthly,1,Existing physical parameter,['recenbpzSmuXahliZ'],"Instantaneous forcing is the radiative flux change caused instantaneously by an imposed change in radiative forcing agent (greenhouse gases, aerosol, solar radiation, etc.).
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec0Tg6KHH6W575sg,limndiaz,Nitrogen Limitation of Diazotrophs,nitrogen_growth_limitation_of_diazotrophic_phytoplankton,1,df05d7b7c578eeb7aa49c2ef6f79b30f,OMIP_Omon,1,Existing physical parameter,['recAXt0BA7tqCoDXQ'],"In ocean modelling, diazotrophs are phytoplankton of the phylum cyanobacteria distinct from other phytoplankton groups in their ability to fix nitrogen gas in addition to nitrate and ammonium. Phytoplankton are algae that grow where there is sufficient light to support photosynthesis. ""Nitrogen growth limitation"" means the ratio of the growth rate of a species population in the environment (where there is a finite availability of nitrogen) to the theoretical growth rate if there were no such limit on nitrogen availability.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
rec0d0724BU9uhEpl,wbgt2m,mean 2m daily wet bulb globe temperature,,degC,,,1,Under review,['rec9jcVhoxvrSqPry'],,,2024-09-15T15:31:37.000Z,Beth Dingley,In progress,"['Atmosphere', 'Impacts & Adaptation']",True,Impacts and Adaptation,ulas@envs.au.dk,"Important for the estimation of heat stress on human health
",In progress,,,,,,,,,,,,
