,Name,Title (from Variables (Import)),Model Count,Rank,Download Volume,Rank 2,Download Count,Rank 3,Min Rank,Field 10,Field 11,Field 12,Field 13,CMOR Variables (Import),Variables,Review Comment,In C3S
rec00gkkJivZVHqqM,CFmon.clcalipso,CALIPSO Percentage Cloud Cover,26.0,427.0,2731.63,413.0,1845,1067.0,413,cloud_area_fraction_in_atmosphere_layer,CALIPSO Percentage Cloud Cover,Percentage cloud cover in CALIPSO standard atmospheric layers. [40 height levels],"Temporal mean, Global field on 40 altitude levels [XY-H40] [tmean]",CFmon.clcalipso,CFmon.clcalipso,,
rec00sCcit7WreOD5,Efx.rsd,Downwelling Shortwave Radiation,10.0,956.0,2.53,1717.0,5227,665.0,665,downwelling_shortwave_flux_in_air,Downwelling Shortwave Radiation,Fluxes are requested at all levels,"Fixed, Atmospheric profile (model half-levels) [na-A] {spectband:}",Efx.rsd,Efx.rsd,,
rec02hnXffmMnUope,AERmon.dryso4,Dry Deposition Rate of SO4,28.0,382.0,258.95,887.0,8267,506.0,382,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_dry_deposition,Dry Deposition Rate of SO4,,"Temporal mean, Global field (single level) [XY-na] [am-tm]",AERmon.dryso4,AERmon.dryso4,,
rec02o1bUyKBvPxic,Oyr.phydiaz,Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,4.0,1463.0,225.25,932.0,1261,1163.0,932,mole_concentration_of_diazotrophic_phytoplankton_expressed_as_carbon_in_sea_water,Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,carbon concentration from the diazotrophic phytoplankton component alone,"Temporal mean, Global ocean field on model levels [XY-O] [tmean]",Oyr.phydiaz,Oyr.phydiaz,,
rec072FCZKtNnbK5G,Eday.tgs,Temperature of Bare Soil,6.0,1295.0,71.25,1229.0,55,1685.0,1229,surface_temperature,Temperature of Bare Soil,Temperature of bare soil,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]",Eday.tgs,Eday.tgs,,
rec09cc6cWL1qP2yO,Eday.mrtws,Terrestrial Water Storage,6.0,1295.0,109.71,1122.0,201,1543.0,1122,land_water_amount,Terrestrial Water Storage,canopy_and_surface_and_subsurface_water_amount,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]",Eday.mrtws,Eday.mrtws,,
rec0DoioCIajujZlG,CFmon.pctisccp,ISCCP Mean Cloud Top Pressure,40.0,230.0,111.97,1119.0,4624,719.0,230,air_pressure_at_cloud_top,ISCCP Mean Cloud Top Pressure,time-means weighted by the ISCCP Total Cloud Fraction - see http://cfmip.metoffice.com/COSP.html,"Temporal mean, Global field (single level) [XY-na] [amncl-twm]",CFmon.pctisccp,CFmon.pctisccp,,
rec0EJ5ZohJPCYsbS,Eday.tran,Transpiration,10.0,956.0,101.9,1138.0,691,1323.0,956,transpiration_flux,Transpiration,Transpiration,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]",Eday.tran,Eday.tran,,
rec0G86In0r3LXcop,Efx.sandfrac,Sand Fraction,9.0,1069.0,0.03,1826.0,190,1555.0,1069,volume_fraction_of_sand_in_soil,Sand Fraction,Sand Fraction,Time Invariant Global Field on Soil Levels [XY-na] {sdepth:} [amla],Efx.sandfrac,Efx.sandfrac,,
rec0Hj9bQFF6zhBtS,Eday.dslw,Change in Soil Moisture,3.0,1599.0,120.76,1093.0,78,1651.0,1093,change_over_time_in_mass_content_of_water_in_soil,Change in Soil Moisture,,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]",Eday.dslw,Eday.dslw,,
rec0IA1qSBJiNycgF,Oyr.dissi14cabio,Abiotic Dissolved Inorganic Carbon-14 Concentration,3.0,1599.0,376.08,795.0,615,1345.0,795,mole_concentration_of_dissolved_inorganic_14C_in_sea_water,Abiotic Dissolved Inorganic Carbon-14 Concentration,Abiotic Dissolved inorganic 14carbon (CO3+HCO3+H2CO3) concentration,"Temporal mean, Global ocean field on model levels [XY-O] [tmean]",Oyr.dissi14cabio,Oyr.dissi14cabio,,
rec0Ilim1xoAwl4Tw,AERmon.rlsaf,,1.0,1765.0,5.19,1663.0,1018,1222.0,1222,na,na,na,,,,"In ESGF, not requested",
rec0IqH0ohhDWKdoa,Odec.so,Sea Water Salinity,5.0,1401.0,44.67,1325.0,271,1501.0,1325,sea_water_salinity,Sea Water Salinity,"Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand.  [Report on native horizontal grid as well as on a spherical latitude/longitude grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.]","Temporal mean, Global ocean field on model levels [XY-O] [tmean]",Odec.so,Odec.so,,
rec0J6UAYu9TUlOX6,AERmon.wetso4,Wet Deposition Rate of SO4,28.0,382.0,251.2,894.0,7516,532.0,382,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_wet_deposition,Wet Deposition Rate of SO4,proposed name: tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_wet_deposition,"Temporal mean, Global field (single level) [XY-na] [am-tm]",AERmon.wetso4,AERmon.wetso4,,
rec0Juczkhz7PcjTy,Omon.dissicabio,Abiotic Dissolved Inorganic Carbon Concentration,5.0,1401.0,5816.79,280.0,2126,1008.0,280,mole_concentration_of_dissolved_inorganic_carbon_abiotic_analogue_in_sea_water,Abiotic Dissolved Inorganic Carbon Concentration,"Abiotic Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration [Concentrations of all 3D tracers in the uppermost ocean layer. See first table in Oyr for a complete list of these tracers.  ""Tracer""  concentations should be reported even if they are diagnosed rather than prognostically calculated.]","Temporal mean, Global ocean field on model levels [XY-O] [tmean]",Omon.dissicabio,Omon.dissicabio,,
