,Title,label,CMIP6 Title,Coordinates,Cell Measures,description
rec0aY3EryVZStCZ5,"Temporal mean, Global field (at zero Centigrade soil isotherm) [XY-na] {:stempzero} [amunf-twm]",str-h642,"Temporal mean, Global field (at zero Centigrade soil isotherm) [XY-na] {:stempzero} [amunf-twm]",stempzero,area: areacella,
rec1R7Kh4MBZoc0cQ,"Climatological mean, Global field on model atmosphere half-levels [XY-AH] [aclim]",str-a090,"Climatological mean, Global field on model atmosphere half-levels [XY-AH] [aclim]",,area: areacella,
rec1dJxLQ7ojGGkti,Model Configuration Field,str-054,"No temporal dimensions ... fixed field, Global field (single level) [XY-na]",,area: areacella,
rec22qYHgrML3MVlO,"Temporal mean, Global field (single level) [XY-na] {landUse:} [amlu-twm]",str-b436,"Temporal mean, Global field (single level) [XY-na] {landUse:} [amlu-twm]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
rec294Sfs0lll5FWV,"Mean Diurnal Cycle, Global field (single level) [XY-na]",str-340,"Mean Diurnal Cycle, Global field (single level) [XY-na]",,area: areacella,
rec2oPQlkqwNDh11k,"Temporal mean, Global field [XY-na] {effectRadLi tau:} [am-tm]",str-d85,"Temporal mean, Global field [XY-na] {effectRadLi tau:} [am-tm]",,area: areacella,
rec2p0qs7ZGr3bDl7,"Instantaneous value (i.e. synoptic or time-step value), Global field on 40 altitude levels [XY-H40] {scatratio:} [tpt]",str-337,"Instantaneous value (i.e. synoptic or time-step value), Global field on 40 altitude levels [XY-H40] {scatratio:} [tpt]",,area: areacella,
rec3f2hhbR1heb5Fz,"Temporal mean, Global field on model atmosphere levels [XY-A] {:lambda550nm} [am-tm]",str-e19,"Temporal mean, Global field on model atmosphere levels [XY-A] {:lambda550nm} [am-tm]",lambda550nm,area: areacella,
rec3juPn9SmATBGrA,"Instantaneous values, Global field (7 pressure levels) [XY-P7] {tau:} [tpt]",str-e01,"Instantaneous values, Global field (7 pressure levels) [XY-P7] {tau:} [tpt]",,area: areacella,
rec3zfMRAFwpX7I14,Synoptic Near-Surface Field (10m),str-072,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] {:height10m} [tpt]",height10m,area: areacella,
rec41HosMkD417SGs,"Temporal mean, Global field (single level) [XY-na] {:depth0m} [amse-tmn]",str-a061,"Temporal mean, Global field (single level) [XY-na] {:depth0m} [amse-tmn]",depth0m,area: areacello,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
rec4DadSYx3E7uu5k,"Instantaneous value (i.e. synoptic or time-step value), Site (specific locations requested by CFMIP) [S-na] {:height2m} [apt-tpt]",str-d63,"Instantaneous value (i.e. synoptic or time-step value), Site (specific locations requested by CFMIP) [S-na] {:height2m} [apt-tpt]",height2m,,
rec4WRRuREnKHz5Ry,"Temporal mean, Global field (7 pressure levels) [XY-P7] {tau:} [tmean]",str-249,"Temporal mean, Global field (7 pressure levels) [XY-P7] {tau:} [tmean]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
rec4fNmdtAxGPHz2O,"Temporal mean, Global field (single level) [XY-na] [amtr-twm]",str-h064,"Temporal mean, Global field (single level) [XY-na] [amtr-twm]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
rec4swclWagbQiqWD,"Temporal mean, Antarctic Polar Stereographic Grid [XYA-na] [amngi-twmn]",str-b183,"Temporal mean, Antarctic Polar Stereographic Grid [XYA-na] [amngi-twmn]",,area: areacellg,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
rec5HbqDrDFEgTkcx,"Instantaneous value (i.e. synoptic or time-step value), Global field on 40 altitude levels [XY-H40] [amn-tpt]",str-318,"Instantaneous value (i.e. synoptic or time-step value), Global field on 40 altitude levels [XY-H40] [amn-tpt]",,area: areacella,
rec6175IvtsoEThzk,"Temporal mean, Global field (single level) [XY-na] {:typesever} [amnlax-tmn]",str-h020,"Temporal mean, Global field (single level) [XY-na] {:typesever} [amnlax-tmn]",typesever,area: areacella,
rec6VXTLy6jeW1PdU,"Temporal mean, Global field (single level) [XY-na] {:sdepth10} [amnla-tmn]",str-841,"Temporal mean, Global field (single level) [XY-na] {:sdepth10} [amnla-tmn]",sdepth10,area: areacella,
rec6WtVUfXLbQytDR,"Time invariant, Antarctic Polar Stereographic Grid, Grounded [XYA-na] [amngi-fx]",str-b226,"Time invariant, Antarctic Polar Stereographic Grid, Grounded [XYA-na] [amngi-fx]",,area: areacellg,
rec6c3p2poIK0HYFD,"Temporal mean, Global field (single level) [XY-na] {landUse:height2m} [amlu-twm]",str-h072,"Temporal mean, Global field (single level) [XY-na] {landUse:height2m} [amlu-twm]",height2m,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
rec6isJzS36Qv5TrQ,"Temporal mean, Global ocean field on model levels [XY-O] [tmean]",str-a071,"Temporal mean, Global ocean field on model levels [XY-O] [tmean]",,--OPT,
rec6ks3pgFsKpvFF8,"Temporal mean, Masked global mean - grounded ice shelves [amngi-twm]",str-x185,"Temporal mean, Masked global mean - grounded ice shelves [amngi-twm]",,,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
rec6yDGNkhdriuH83,"Temporal mean, Global ocean field on model levels [XY-O] [tmean]",str-157,"Temporal mean, Global ocean field on model levels [XY-O] [tmean]",,area: areacello volume: volcello,
rec7E8Z6WxwdQfGke,"Temporal mean, Global field (single level) [XY-na] {:typec4pastures} [amnlax-tmn]",str-h065,"Temporal mean, Global field (single level) [XY-na] {:typec4pastures} [amnlax-tmn]",typec4pastures,area: areacella,
rec7OdFOiQ9cWaoey,"Time and Area Mean on Single Level, Masked (Land)",str-041,"Temporal mean, Global field (single level) [XY-na] [amnla-tmn]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
rec7Si9DZggMt3tYp,"Instantaneous value (i.e. synoptic or time-step value), Atmospheric profiles at specified sites [S-A] [tpt]",str-227,"Instantaneous value (i.e. synoptic or time-step value), Atmospheric profiles at specified sites [S-A] [tpt]",,,
rec7TcnKVT9IHnOer,"Temporal mean, Global field (single level, pastures) [XY-na] [amp-twm]",str-h389,"Temporal mean, Global field (single level, pastures) [XY-na] [amp-twm]",,area: areacella,"For time mean fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
rec8DKUomq7BpOyFH,"Temporal mean, Global field (single level) [XY-na] {landUse:} [tsum]",str-b181,"Temporal mean, Global field (single level) [XY-na] {landUse:} [tsum]",,area: areacella,"For time mean and sum fields, it may be useful to add information about the sampling interval in the cell_methods string. The syntax is to append, in brackets, 'interval: *amount* *units*', for example 'area: time: mean (interval: 1 hr)'. The units must be valid UDUNITS, e.g. day or hr."
