,Name,New Names,Status,Title,Alternative Label,Comment,UID,Description
rec1ywCsWINPYKgt5,E3hrPt,['3hrPt'],Deprecated,"3-hourly (instantaneous, extension)",em3hrpt,"Data in the 'E...' tables is requested by specific endorsed MIPs, and is generally more specialised than other tables.",527f5cf0-8c97-11ef-944e-41a8eb05f654,
rec2ZlMmpB0BNZT2U,Amon,['Amon'],,Monthly atmospheric data,Amon,"Monthly data is split between Amon, Omon, AERmon, CFmon, Lmon, LImon, SImon, EMmon, LImonAnt and LImonGre. Amon includes some monhly climatologies (frequency monClim) which should be provided as 12 monthly values averaged over the years requested.",527f5ce7-8c97-11ef-944e-41a8eb05f654,
rec4iDxAbcIUCK2qe,Oyr,['Oyr'],,Annual ocean variables,Oyr,"ocean"" as in ""ocean grid",527f5d07-8c97-11ef-944e-41a8eb05f654,Annual mean variables on the ocean grid.
rec6BjQ8U0UndjZMd,6hrLev,['6hrLev'],,6-hourly data on atmospheric model levels,6hrLev,,527f5cdc-8c97-11ef-944e-41a8eb05f654,
rec7qKm4LVU8UDu8D,Esubhr,['subhr'],,Sub-hourly (extension),emSubhr,"Data in the 'E...' tables is requested by specific endorsed MIPs, and is generally more specialised than other tables.",527f5cf7-8c97-11ef-944e-41a8eb05f654,
rec8PrPg7U6V50s1D,AERmon,['AERmon'],,Monthly atmospheric chemistry and aerosol data,aermonthly,,527f5ce3-8c97-11ef-944e-41a8eb05f654,
rec8V3mckONBDqVvp,Odec,['Odec'],,Decadal ocean data,Odec,,527f5d04-8c97-11ef-944e-41a8eb05f654,
rec9Zbn8ytd54M3RI,Omon,['Omon'],,Monthly ocean data,Omon,,527f5d06-8c97-11ef-944e-41a8eb05f654,
recDBLH3qoCIE5fnP,AERmonZ,['AERmonZ'],,Monthly atmospheric chemistry and aerosol data,aermonthlyz,,527f5ce4-8c97-11ef-944e-41a8eb05f654,
recINPzdPlvvJcOOi,IyrGre,['LIyr'],,Annual fields on the Greenland ice sheet,LIyrgre,,527f5cff-8c97-11ef-944e-41a8eb05f654,
recInWKHDZNyJyvGx,3hr,['3hr'],TODO,3-hourly data,3hr,,527f5cda-8c97-11ef-944e-41a8eb05f654,
recJNEPFxxmzJWemo,Ahr,['Ahr'],New,Hourly atmospheric data,Ahr,,527f5ce5-8c97-11ef-944e-41a8eb05f654,
recLnHphNQpwrwCkB,AERday,['AERday'],,Daily atmospheric chemistry and aerosol data,aerdaily,,527f5ce0-8c97-11ef-944e-41a8eb05f654,
recO8PgOt8B5JyaRn,fx,['fx'],,Fixed variables,fx,,527f5cf9-8c97-11ef-944e-41a8eb05f654,Variables with no time dependency
recOo8PgsrU39GpXO,CFday,['CFday'],,Daily data associated with cloud forcing,cfDay,"Includes model level fields (ua, va, etc)",527f5ce9-8c97-11ef-944e-41a8eb05f654,
recQXsFsBHVzggfzx,Ofx,['fx'],,Fixed ocean data,Ofx,,527f5d05-8c97-11ef-944e-41a8eb05f654,
recREmLBhiXPj928D,AhrMon,['AhrMon'],,Monthly Mean Diurnal Cycle,em1hrclimmon,"Average daily cycle, in 1 hour steps, monthly averages.",527f5ce6-8c97-11ef-944e-41a8eb05f654,"Hourly data, averaged over days"
recRcscycoMRHxCPV,Oday,['Oday'],,Daily ocean data,Oday,,527f5d03-8c97-11ef-944e-41a8eb05f654,"Daily Mean Atmosphere, Ocean and Surface Fields"
recRnMdyRzpjwCxUH,6hrZ,['6hrZ'],New,6-hourly Zonal Mean,,,527f5cdf-8c97-11ef-944e-41a8eb05f654,
recSp0jatYonPQIXK,CFmon,['CFmon'],,Monthly data associated with cloud forcing,cfMon,,527f5cea-8c97-11ef-944e-41a8eb05f654,
recT5B7TbJt1zYcVu,3hrPt,['3hrPt'],,3-hourly (instantaneous),3hrPt,,527f5cdb-8c97-11ef-944e-41a8eb05f654,
recVfc6QG5rr4bqtl,ImonAnt,['LImon'],,Monthly fields on the Antarctic ice sheet,LImonant,,527f5cfc-8c97-11ef-944e-41a8eb05f654,
recWFuDgNrl93qktQ,EmonZ,['AmonZ'],,"Monthly zonal means (time mean, extension)",emMonZ,"Data in the 'E...' tables is requested by specific endorsed MIPs, and is generally more specialised than other tables.",527f5cf6-8c97-11ef-944e-41a8eb05f654,
recXhFyLStem4QvlA,6hrPlevPt,['6hrLevPt'],,6-hourly atmospheric data on pressure levels (instantaneous),6hrPlevpt,Some 6-hourly variables are requested in both time mean and instantaneous forms to support different scientific analyses.,527f5cde-8c97-11ef-944e-41a8eb05f654,
recZFF66TWSlFtPEc,E1hrClimMon,['A1hrClimMon'],Deprecated,Diurnal Cycle,em1hrclimmon,"Average daily cycle, in 1 hour steps, monthly averages.",527f5cee-8c97-11ef-944e-41a8eb05f654,"Hourly data, averaged over days"
reca1YbPpvBN2NPqr,E3hr,['3hr'],Deprecated,"3-hourly (time mean, extension)",em3hr,"Data in the 'E...' tables is requested by specific endorsed MIPs, and is generally more specialised than other tables.",527f5cef-8c97-11ef-944e-41a8eb05f654,
reca2ULUFOcd0UCIU,LImon,['LImon'],,Monthly fields for the terrestrial cryosphere,LImon,Includes both fields over all land and fields restricted to ice sheets.,527f5d00-8c97-11ef-944e-41a8eb05f654,
recbX4YYDsSNyJuBb,IyrAnt,['LIyr'],,Annual fields on the Antarctic ice sheet,LIyrant,,527f5cfe-8c97-11ef-944e-41a8eb05f654,
reccQJrfggwyzyuuF,day,['day'],,Daily Data (extension - contains both atmospheric and oceanographic data),day,"Includes presure level fields (ua, va, etc)",527f5cec-8c97-11ef-944e-41a8eb05f654,
