,Compound Name,CF Standard Name (from MIP Variables),Title,Description,Type,Modeling Realm,Table,Frequency,Status,Theme,Atmosphere author team review,CMIP7 Variable Groups,UID,Min Rank,Processing Note,Provenance,Priority 2 (CMIP6 - OLD,Priority 1 (CMIP6) -- OLD,Rank by File Count,Rank by Volume,Rank by Submissions,Positive Direction,Impacts & adaptation author team review,Priority 3 (CMIP6 - OLD),Variable is included in ESM-BCV v1.3,Ocean & sea-ice author team review,Cross-thematic team review,Cross-thematic group review comment,Land & land-ice author team review,Priority 2 (CMIP6),Priority 1 (CMIP6),Atmosphere review comment,Priority 3 (CMIP6),Earth system author team review
rec01Ws52088KuxbI,AERmon.abs550so4,atmosphere_absorption_optical_thickness_due_to_sulfate_ambient_aerosol_particles,sulfate aaod@550nm,"This is the sulphate aerosol optical depth at 550nm due to absorption
",real,['aerosol'],['AERmon'],['mon'],Under review,['Atmosphere'],In progress,"DAMIP_monthly, aerchemmip_2d_monthly",83bbfc21-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,,,,,,,,,,,,
rec05vvBboMjh9cRo,Omon.friver,water_flux_into_sea_water_from_rivers,Water Flux into Sea Water from Rivers,"computed as the river flux of water into the ocean divided by the area of the ocean portion of the grid cell.
",real,['ocean'],['Omon'],['mon'],CMIP6 CMOR variable,,,"hydrology, dynamical_downscaling_ocean_core, tipmip_extended, omip_surface_fluxes_medium_priority",baa6247a-e5dd-11e5-8482-ac72891c3257,144,"Report on native horizontal grid.
",Omon ((isd.003)),['CMIP5'],"['CMIP', 'PMIP', 'VIACSAB']",188,819,144,,,,,,,,,,,,,
rec07ktCa5ulrddq1,SImon.siflswutop,surface_upwelling_shortwave_flux_in_air,Upwelling Shortwave Flux over Sea Ice,"The upwelling shortwave flux over sea ice (always negative)
",real,['seaIce'],['SImon'],['mon'],CMIP6 CMOR variable,,,"seaice_budget_energy_monthly, paleo_cryosphere, paleo_cryosphere_medium_priority",710ad164-faa7-11e6-bfb7-ac72891c3257,273,,SIMIP [seaicemon],['SIMIP'],"['CMIP', 'PMIP', 'VIACSAB']",661,1063,273,up,,,,,,,,,,,,
rec08X4uO5xpYB5Af,E1hr.sfcWind_dup,wind_speed,Hourly 100m wind speed,"Hourly 100m wind speed
",real,['atmos'],['E1hr'],['1hr'],Under review,"['Atmosphere', 'Impacts & adaptation']",In progress,,83bbfc80-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,In progress,,,,,,,,,,,
rec08pOaFlZDpEbE8,Omon.obvfsq,square_of_brunt_vaisala_frequency_in_sea_water,Square of Brunt Vaisala Frequency in Sea Water,"The phrase ""square\_of\_X"" means X\*X. Frequency is the number of oscillations of a wave per unit time. Brunt-Vaisala frequency is also sometimes called ""buoyancy frequency"" and is a measure of the vertical stratification of the medium.
",real,['ocean'],['Omon'],['mon'],CMIP6 CMOR variable,,,"omip_scalar_fields, omip_scalars_high_priority",1aab5d20-b006-11e6-9289-ac72891c3257,86,"Report on native horizontal grid as well as on a spherical latitude/longitude grid. Online mapping to depth/pressure vertical grid if depth or pressure are not native.
",Omon ((isd.003)),,['CMIP5'],195,86,258,,,,,,,,,,,,,
rec09igKLBvFm7KtJ,IyrGre.xvelmean,land_ice_vertical_mean_x_velocity,X-Component of Land Ice Vertical Mean Velocity,"The vertical mean land ice velocity is the average from the bedrock to the surface of the ice
",real,['landIce'],['IyrGre'],['yr'],CMIP6 CMOR variable,,,landice_greenland_allfreq,d5b3ea3a-c78d-11e6-9b25-5404a60d96b5,1765,,ISMIP6 [IyrGre],,,1848,1848,1765,,,['ISMIP6'],,,,,,,,,,
rec0Bi96fJH25GCd6,Omon.o2,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,Dissolved Oxygen Concentration,"'Mole concentration' means number of moles per unit volume, also called ""molarity"", and is used in the construction mole\_concentration\_of\_X\_in\_Y, where X is a material constituent of Y.  A chemical or biological species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox\_expressed\_as\_nitrogen'.
",real,['ocnBgchem'],['Omon'],['mon'],CMIP6 CMOR variable,,,"marine_bgc_baseline, DCPP_Wider, c4mip_ocean_carbon_cycle_tier1",ba9f9e7a-e5dd-11e5-8482-ac72891c3257,61,"Concentrations of all 3D tracers in the uppermost ocean layer. See first table in Oyr for a complete list of these tracers.  ""Tracer""  concentations should be reported even if they are diagnosed rather than prognostically calculated.
",Omon ((isd.003)),"['C4MIP', 'CMIP5', 'DAMIP', 'DCPP']",['CMIP'],229,61,402,,,,,,,,,,,,,
rec0BlnLhgJVIYqAs,Amon.psl,air_pressure_at_mean_sea_level,Sea Level Pressure,"not, in general, the same as surface pressure
",real,['atmos'],['Amon'],['mon'],CMIP6 CMOR variable,,,"baseline_monthly, dynvar_basic, DAMIP_monthly, CVDP_input, Hadley_Walker_Circulations, aerchemmip_2d_monthly, paleodata_assimilation, DCPP_Essential, paleo_land_atmosphere_surface, SO_BGC-cloud_met_monthly, FireMIP_monthly, CFMIP_baseline, ref_atmosphere, tipmip_baseline",bab48ce0-e5dd-11e5-8482-ac72891c3257,4,,Amon ((isd.003)),,"['CFMIP', 'CMIP', 'CMIP5', 'DCPP', 'DynVarMIP', 'PMIP', 'VIACSAB']",4,158,5,,,['CDRMIP'],1 checked out of 1,,,,,,,,,
rec0DQ5ondumwI3du,CF3hr.sci,shallow_convection_time_fraction,Fraction of Time Shallow Convection Occurs,"Fraction of time that shallow convection occurs in the grid cell.
",real,['atmos'],['CF3hr'],['3hrPt'],CMIP6 CMOR variable,,,cfmip_3hr,edbcf72c-4b7f-11e7-903f-5404a60d96b5,1463,"For models with a distinct shallow convection scheme only.
",CFMIP (CMIP5),,['CFMIP'],1835,1828,1463,,,,,,,,,,,,,
rec0DzzViZwPS0qW7,SIday.sitempsnic,sea_ice_surface_temperature,Temperature at Snow-Ice Interface ,"Report surface temperature of ice where snow thickness is zero
",real,['seaIce'],['SIday'],['day'],Accepted,['Ocean & sea-ice'],,"seaice_state_daily_advanced, snow_allfreq",83bbfb28-7f07-11ef-9308-b1dd71e64bec,,,,,,,,,,,,,In progress,Accept,MJ: simple change from existing monthly variable to daily.,,,,,,
